seed,N,D,num_clusters,lengthscale_mult,lengthscale,kernel_var,noise_var,method,proj,ctr,feature_dist,rmse,test_kl,test_mnll,test_mean_mse,test_var_mse
5.0,10000.0,100.0,896.0,0.25,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.49086794257164,1318.1435546875,0.713317334651947,0.03817087411880493,3.6648900277214125e-05
5.0,10000.0,100.0,896.0,0.25,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.4795408844947815,866.7318725585938,0.6869425177574158,0.02481675334274769,6.6854927354143e-06
5.0,10000.0,100.0,896.0,0.25,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.4710209369659424,752.949951171875,0.6675243377685547,0.02150195650756359,1.0476102943357546e-05
5.0,10000.0,100.0,462.0,0.5,0.24478426575660706,0.5047977566719055,0.20189650356769562,rff,gaussian,0.0,None,0.5124895572662354,1878.42578125,0.7662823796272278,0.05711741000413895,0.00020857427443843335
5.0,10000.0,100.0,462.0,0.5,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 4, 6, 9, 15, 24, 38]",0.4819812774658203,998.7471313476562,0.6936822533607483,0.028891421854496002,4.735459151561372e-05
5.0,10000.0,100.0,462.0,0.5,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.5269938111305237,2571.6533203125,0.8039341568946838,0.07384435832500458,6.590488192159683e-05
5.0,10000.0,100.0,462.0,0.5,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.47915610671043396,889.1134033203125,0.6859708428382874,0.025504229590296745,2.897829517678474e-06
5.0,10000.0,100.0,462.0,0.5,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.48809248208999634,1220.0557861328125,0.7070600986480713,0.03527648374438286,3.814573574345559e-05
5.0,10000.0,100.0,172.0,1.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,rff,gaussian,0.0,None,0.5094730257987976,1779.9261474609375,0.7589261531829834,0.0536184199154377,0.00021079383441247046
5.0,10000.0,100.0,172.0,1.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 4, 6, 9, 15, 24, 38]",0.4898678660392761,1250.376220703125,0.7112231850624084,0.03596746549010277,3.1693256460130215e-05
5.0,10000.0,100.0,172.0,1.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.4830143451690674,1020.4351196289062,0.6946393251419067,0.02941332943737507,1.7049424059223384e-05
5.0,10000.0,100.0,172.0,1.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.4727398157119751,753.5718994140625,0.6719038486480713,0.02149873971939087,1.2237326700414997e-05
5.0,10000.0,100.0,172.0,1.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.473728746175766,746.5323486328125,0.6732161641120911,0.0216665081679821,1.1906526196980849e-05
5.0,10000.0,100.0,58.0,2.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,rff,gaussian,0.0,None,0.4961305260658264,1571.244384765625,0.7275789976119995,0.04544088989496231,0.00021436423412524164
5.0,10000.0,100.0,58.0,2.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 4, 6, 9, 15, 24, 38]",0.4803794324398041,998.2452392578125,0.6878098845481873,0.02923993393778801,1.8502229067962617e-05
5.0,10000.0,100.0,58.0,2.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.482856422662735,1076.824951171875,0.6942647695541382,0.031288210302591324,1.883750519482419e-05
5.0,10000.0,100.0,58.0,2.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.48392778635025024,1055.123291015625,0.6969082355499268,0.030550945550203323,1.9804039766313508e-05
5.0,10000.0,100.0,58.0,2.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.4813898801803589,999.78515625,0.6907182335853577,0.029103904962539673,1.9527680706232786e-05
5.0,10000.0,100.0,21.0,4.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,rff,gaussian,0.0,None,0.49859726428985596,1620.709716796875,0.7332165241241455,0.04701858386397362,0.00020816741744056344
5.0,10000.0,100.0,21.0,4.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,0.0,"[3, 4, 6, 9, 15, 24, 38]",0.5257877111434937,2800.27587890625,0.8000349402427673,0.08052124828100204,4.7581648686900735e-05
5.0,10000.0,100.0,21.0,4.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,rademacher,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.5213337540626526,2614.580810546875,0.7898925542831421,0.07443741708993912,4.7946487029548734e-05
5.0,10000.0,100.0,21.0,4.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.5218040347099304,2626.791748046875,0.7908474206924438,0.07506875693798065,4.73646359751001e-05
5.0,10000.0,100.0,21.0,4.0,0.24478426575660706,0.5047977566719055,0.20189650356769562,maclaurin,srht,1.0,"[2, 3, 4, 5, 8, 11, 16]",0.5287778377532959,2753.93798828125,0.8076532483100891,0.07914742827415466,4.039808118250221e-05
