dataset,method,degree,bias,proj,comp,comp_real,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_mse,k_mean_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.017500000074505806,0.0571245476603508,0.09000000357627869,0.031867124140262604,0.14668075740337372,0.05300913751125336,507.8996276855469,0.2030516415834427,0.09496212750673294,9216.0,None,0.001,0.3340747356414795,14.138807773590088,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.01939999870955944,0.061435483396053314,0.09000000357627869,0.03692152351140976,0.15701593458652496,0.057058338075876236,302.4028625488281,0.14124292135238647,0.016094913706183434,9216.0,None,0.001,0.16815686225891113,14.147704362869263,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.01860000006854534,0.059847842901945114,0.09000000357627869,0.01507029589265585,0.09710980206727982,0.03645357862114906,269.2636413574219,0.12741360068321228,0.012853721156716347,9216.0,None,0.001,0.24649620056152344,14.140636205673218,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.01939999870955944,0.06156182661652565,0.09000000357627869,0.018233299255371094,0.10709770768880844,0.04009700566530228,276.53216552734375,0.13025812804698944,0.012111816555261612,9216.0,None,0.001,0.40422773361206055,14.157242059707642,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.017400000244379044,0.056735362857580185,0.09000000357627869,0.029462339356541634,0.1400952786207199,0.05096979811787605,469.5189514160156,0.18252629041671753,0.1019958108663559,10240.0,None,0.001,0.37492871284484863,17.368667364120483,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.01860000006854534,0.0602797232568264,0.09000000357627869,0.016292978078126907,0.10026942193508148,0.037903521209955215,275.3507385253906,0.12908200919628143,0.014022676274180412,10240.0,None,0.001,0.3409285545349121,17.432759284973145,0.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.01899999938905239,0.059135910123586655,0.09000000357627869,0.010947851464152336,0.08320926874876022,0.031070178374648094,246.11082458496094,0.11592688411474228,0.010738931596279144,10240.0,None,0.001,0.2813396453857422,17.360283613204956,0.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.019500000402331352,0.05875950679183006,0.09000000357627869,0.0116511145606637,0.08583120256662369,0.03205258399248123,246.5373077392578,0.1151604950428009,0.01114981435239315,10240.0,None,0.001,0.5173895359039307,17.391281127929688,0.0
MNIST,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.1354999989271164,0.4309948682785034,0.09000000357627869,0.536992609500885,0.5814314484596252,0.21759706735610962,15031.96875,5.0181565284729,1.4363102912902832,128.0,None,0.001,0.011930704116821289,0.05181550979614258,1.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.13279999792575836,0.4423880875110626,0.09000000357627869,6.701720714569092,1.9353225231170654,0.768709123134613,15071.4814453125,4.909963130950928,1.4347273111343384,128.0,None,0.001,0.031999826431274414,0.043402671813964844,1.0
MNIST,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.1289999932050705,0.41625097393989563,0.09000000357627869,1.977513074874878,1.217896819114685,0.4175693094730377,14785.884765625,4.901782512664795,1.431905746459961,128.0,None,0.001,0.06460094451904297,0.0453188419342041,1.0
MNIST,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.13089999556541443,0.41740116477012634,0.09000000357627869,0.9829936623573303,0.7975335717201233,0.29440435767173767,13957.0419921875,4.550332546234131,1.4328306913375854,128.0,None,0.001,0.02544260025024414,0.039632558822631836,1.0
