dataset,method,degree,bias,proj,comp,comp_real,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_mse,k_mean_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.0405999980866909,0.13144060969352722,0.09000000357627869,0.7841066122055054,0.48486584424972534,0.39833107590675354,3555.332763671875,1.7624807357788086,3.4345505237579346,2048.0,None,0.001,0.23992061614990234,0.9911704063415527,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.03399999812245369,0.11090297251939774,0.09000000357627869,0.2600128650665283,0.3567875325679779,0.22937923669815063,2179.988037109375,1.2125836610794067,2.4110305309295654,2048.0,None,0.001,0.4625699520111084,0.9783501625061035,3.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.03529999777674675,0.11029168218374252,0.09000000357627869,0.24082551896572113,0.38928601145744324,0.22075363993644714,2221.586181640625,1.2101492881774902,2.478013515472412,2048.0,None,0.001,0.3754415512084961,0.9926161766052246,3.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.02759999968111515,0.08607665449380875,0.09000000357627869,0.022860627621412277,0.12053621560335159,0.06801437586545944,902.3729858398438,0.7144269943237305,0.661836564540863,3072.0,None,0.001,0.060266733169555664,1.8257758617401123,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.035599999129772186,0.11125973612070084,0.09000000357627869,0.31722891330718994,0.4045930504798889,0.2533629238605499,2798.83984375,1.38119637966156,2.974093437194824,3072.0,None,0.001,0.3053116798400879,1.8300285339355469,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.028999999165534973,0.09447921812534332,0.09000000357627869,0.16837388277053833,0.2926449477672577,0.18458399176597595,1646.28515625,1.00684654712677,1.7428721189498901,3072.0,None,0.001,0.5178377628326416,1.8265607357025146,3.0
MNIST,poly_sketch,20.0,0.875,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.030399998649954796,0.09232648462057114,0.09000000357627869,0.1492382436990738,0.28235140442848206,0.17377877235412598,1617.1151123046875,0.9546732306480408,1.8031779527664185,3072.0,None,0.001,0.609743595123291,1.8275251388549805,3.0
MNIST,srf,20.0,0.875,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,2.8284270763397217,0.026899999007582664,0.07851453870534897,0.09000000357627869,0.018488842993974686,0.10834632068872452,0.061166200786828995,644.0178833007812,0.5276510715484619,0.40573248267173767,4096.0,None,0.001,0.08026266098022461,3.0402510166168213,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,0.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.031300000846385956,0.09672781080007553,0.09000000357627869,1.1650159358978271,0.5177574157714844,0.4855372905731201,2299.624267578125,1.1797523498535156,2.5114901065826416,4096.0,None,0.001,0.3617379665374756,3.0316882133483887,3.0
MNIST,poly_sketch,20.0,0.875,srht,0.0,1.0,1.0,0.0,9.027409553527832,2.8284270763397217,0.027400000020861626,0.08727813512086868,0.09000000357627869,0.11128132790327072,0.23985953629016876,0.1500609964132309,1289.337158203125,0.7981933951377869,1.3988996744155884,4096.0,None,0.001,0.5795040130615234,3.0322799682617188,3.0
