D,bias,comp,comp_real,dataset,degree,feature_dist,feature_time,full_cov,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
3072.0,0.5,0.0,0.0,MNIST,6.0,None,0.14484286308288574,0.0,0.0,1.256256341934204,2.1852867603302,1.0,1.4142135381698608,9.027409553527832,poly_sketch,0.001,1.9639735221862793,countsketch_scatter,0.0,0.8865000009536743,80627.1015625,0.09000000357627869,7.912146091461182,2.3010191917419434,9.6505708694458
4096.0,0.5,0.0,0.0,MNIST,6.0,None,0.46611666679382324,0.0,0.0,0.3207665979862213,0.2139161378145218,0.31287264823913574,1.4142135381698608,9.027409553527832,poly_sketch,0.001,3.047175407409668,rademacher,0.0,0.027499999850988388,1397.7493896484375,0.09000000357627869,1.0117621421813965,0.09223783761262894,2.502425193786621
4096.0,0.5,1.0,0.0,MNIST,6.0,None,1.67685866355896,0.0,0.0,0.1884486824274063,0.06200766563415527,0.1684490144252777,1.4142135381698608,9.027409553527832,poly_sketch,0.001,10.337704181671143,rademacher,0.0,0.02290000021457672,657.158447265625,0.09000000357627869,0.4114510416984558,0.07155755162239075,1.6821415424346924
4096.0,0.5,0.0,1.0,MNIST,6.0,None,0.8541309833526611,0.0,0.0,0.22386664152145386,0.08882390707731247,0.20160938799381256,1.4142135381698608,9.027409553527832,poly_sketch,0.001,3.0881223678588867,rademacher,0.0,0.025499999523162842,989.1417846679688,0.09000000357627869,0.7845209240913391,0.08044479787349701,1.7329826354980469
4096.0,0.5,0.0,0.0,MNIST,6.0,None,0.22496628761291504,0.0,0.0,0.4824119210243225,0.7044692635536194,0.5677757263183594,1.4142135381698608,9.027409553527832,poly_sketch,0.001,3.083435535430908,srht,0.0,0.02759999968111515,1395.115478515625,0.09000000357627869,1.009985089302063,0.09166840463876724,2.5130274295806885
4096.0,0.5,0.0,0.0,MNIST,6.0,None,0.12468528747558594,1.0,0.0,0.4041047990322113,0.3899650275707245,0.4224337935447693,1.4142135381698608,9.027409553527832,poly_sketch,0.001,3.0961098670959473,srht,0.0,0.02969999983906746,1423.442626953125,0.09000000357627869,1.0222433805465698,0.09524109214544296,2.569333553314209
4096.0,0.5,1.0,0.0,MNIST,6.0,None,0.5691556930541992,0.0,0.0,0.1495068222284317,0.03820133954286575,0.13221633434295654,1.4142135381698608,9.027409553527832,poly_sketch,0.001,10.333261966705322,srht,0.0,0.021299999207258224,649.4252319335938,0.09000000357627869,0.40688714385032654,0.06907728314399719,1.6750012636184692
4096.0,0.5,1.0,0.0,MNIST,6.0,None,0.3380711078643799,1.0,0.0,0.14225263893604279,0.03387031704187393,0.12449601292610168,1.4142135381698608,9.027409553527832,poly_sketch,0.001,10.328091144561768,srht,0.0,0.023399999365210533,644.9378051757812,0.09000000357627869,0.40800467133522034,0.07006056606769562,1.640500783920288
4096.0,0.5,0.0,1.0,MNIST,6.0,None,0.19695472717285156,1.0,0.0,0.2402273714542389,0.11093933135271072,0.225314199924469,1.4142135381698608,9.027409553527832,poly_sketch,0.001,3.0830533504486084,srht,0.0,0.02630000002682209,994.8943481445312,0.09000000357627869,0.7871453166007996,0.08054650574922562,1.7350772619247437
4096.0,0.5,0.0,0.0,MNIST,6.0,None,0.18871688842773438,0.0,0.0,1.256256341934204,2.1852867603302,1.0,1.4142135381698608,9.027409553527832,poly_sketch,0.001,3.2090694904327393,countsketch_scatter,0.0,0.8865000009536743,80627.1015625,0.09000000357627869,7.912146091461182,2.3010191917419434,9.6505708694458
5120.0,0.5,0.0,0.0,MNIST,6.0,None,0.5769319534301758,0.0,0.0,0.35331830382347107,0.28797903656959534,0.36301639676094055,1.4142135381698608,9.027409553527832,poly_sketch,0.001,4.660959720611572,rademacher,0.0,0.027300000190734863,1141.3568115234375,0.09000000357627869,0.8463226556777954,0.08550391346216202,2.0669612884521484
5120.0,0.5,1.0,0.0,MNIST,6.0,None,2.0907506942749023,0.0,0.0,0.1511516124010086,0.04091250151395798,0.13682763278484344,1.4142135381698608,9.027409553527832,poly_sketch,0.001,16.088298320770264,rademacher,0.0,0.0210999995470047,508.5362243652344,0.09000000357627869,0.3382358253002167,0.06455931067466736,1.2692161798477173
5120.0,0.5,0.0,1.0,MNIST,6.0,None,1.0656461715698242,0.0,0.0,0.22331975400447845,0.08113998174667358,0.19269180297851562,1.4142135381698608,9.027409553527832,poly_sketch,0.001,4.686002731323242,rademacher,0.0,0.023000000044703484,809.5694580078125,0.09000000357627869,0.6571157574653625,0.07561183720827103,1.3931679725646973
5120.0,0.5,0.0,0.0,MNIST,6.0,None,0.278850793838501,0.0,0.0,0.3172708749771118,0.22658604383468628,0.3220048248767853,1.4142135381698608,9.027409553527832,poly_sketch,0.001,4.676338195800781,srht,0.0,0.026200000196695328,1154.3841552734375,0.09000000357627869,0.8413034677505493,0.08456052094697952,2.1293094158172607
5120.0,0.5,0.0,0.0,MNIST,6.0,None,0.14560532569885254,1.0,0.0,0.2733563184738159,0.1457083821296692,0.258218914270401,1.4142135381698608,9.027409553527832,poly_sketch,0.001,4.676942825317383,srht,0.0,0.026899999007582664,1148.8367919921875,0.09000000357627869,0.8525084257125854,0.08372315764427185,2.071479320526123
